year,month,engineTransmission_battery_value,engineTransmission_battery_cc_value_0,engineTransmission_battery_cc_value_1,engineTransmission_battery_cc_value_2,engineTransmission_engineoilLevelDipstick_value,engineTransmission_engineOilLevelDipstick_cc_value_0,engineTransmission_engineOil,engineTransmission_engineOil_cc_value_0,engineTransmission_engineOil_cc_value_1,engineTransmission_engineOil_cc_value_2,engineTransmission_engineOil_cc_value_3,engineTransmission_engineOil_cc_value_4,engineTransmission_engineOil_cc_value_5,engineTransmission_engineOil_cc_value_6,engineTransmission_engineOil_cc_value_7,engineTransmission_engine_value,engineTransmission_engine_cc_value_0,engineTransmission_engine_cc_value_1,engineTransmission_engine_cc_value_2,engineTransmission_engine_cc_value_3,engineTransmission_engine_cc_value_4,engineTransmission_engine_cc_value_5,engineTransmission_engine_cc_value_6,engineTransmission_coolant_value,engineTransmission_coolant_cc_value_0,engineTransmission_coolant_cc_value_1,engineTransmission_coolant_cc_value_2,engineTransmission_engineMounting_value,engineTransmission_engineMounting_cc_value_0,engineTransmission_engineSound_value,engineTransmission_engineSound_cc_value_0,engineTransmission_engineSound_cc_value_1,engineTransmission_engineSound_cc_value_2,engineTransmission_engineSound_cc_value_3,engineTransmission_engineSound_cc_value_4,engineTransmission_engineSound_cc_value_5,engineTransmission_exhaustSmoke_value,engineTransmission_exhaustSmoke_cc_value_0,engineTransmission_engineBlowByBackCompression_value,engineTransmission_engineBlowByBackCompression_cc_value_0,engineTransmission_clutch_value,engineTransmission_clutch_cc_value_0,engineTransmission_clutch_cc_value_1,engineTransmission_clutch_cc_value_2,engineTransmission_clutch_cc_value_3,engineTransmission_clutch_cc_value_4,engineTransmission_gearShifting_value,engineTransmission_gearShifting_cc_value_0,engineTransmission_gearShifting_cc_value_1,engineTransmission_gearShifting_cc_value_2,engineTransmission_comments_value_0,engineTransmission_comments_value_1,engineTransmission_comments_value_2,engineTransmission_comments_value_3,fuel_type,odometer_reading,rating_engineTransmission,Predicted_values
2004,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Dirty,Leakage from Tappet Cover,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Over heating,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Leaking,Unkown,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Low Pick Up,Unkown,Unkown,Unkown,Unkown,No,Hard,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,30438,1.0,3.0922928
2002,12,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Dirty,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,No,Excess Vibration,No,Alternator Brg Noise,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Spongy,Unkown,Unkown,Unkown,Unkown,No,Abnormal Noise,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,76552,1.0,3.3988538
2012,12,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,234079,1.0,4.4289827
2006,12,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,36309,1.0,3.1887226
2004,9,No,Weak,Jump Start,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,RPM fluctuating,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Black,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol + CNG,153950,4.0,1.3721308
2009,1,No,Weak,Unkown,Unkown,Yes,Unkown,No,Leaking,Dirty,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Dirty,Unkown,Unkown,No,Broken,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,59467,1.0,3.4382489
2009,3,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Leaking,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Perm. Blow By on idle,No,Spongy,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,60450,1.0,3.507972
2004,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Level Low,Leaking,Dirty,Leakage from Tappet Cover,Unkown,Unkown,Unkown,Unkown,No,Repaired,Misfiring,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Pickup Low,Starter Motor / Solenoid malfunctioning,Unkown,Unkown,Petrol,105015,1.0,3.526434
2009,6,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Alternator Brg Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,84809,1.0,3.496071
2004,3,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Level Low,Dirty,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,No,Leaking,Dirty,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Hard,Low Pick Up,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,92275,1.0,3.0837553
2009,7,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Perm. Blow By on idle,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,74947,4.5,2.285519
2010,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,40270,1.0,4.3163238
2006,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,84004,1.0,3.4541712
2009,4,No,Weak,Unkown,Unkown,Yes,Unkown,No,Leaking,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,No,Excess Vibration,No,Timing Noise,Tappet Noise,Unkown,Unkown,Unkown,Unkown,No,Noise from silencer assembly,Yes,NO Blow-by,No,Spongy,Low Pick Up,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Diesel,77863,1.0,3.39257
2010,2,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,93264,1.0,4.187374
2007,1,Yes,Unkown,Unkown,Unkown,Yes,Unkown,No,Level Low,Leaking,Dirty,Leakage from Tappet Cover,Unkown,Unkown,Unkown,Unkown,No,Repaired,Misfiring,Unkown,Unkown,Unkown,Unkown,Unkown,No,Leaking,Dirty,Unkown,No,Excess Vibration,No,Alternator Brg Noise,Water Pump Brg Noise,Timing Noise,Tappet Noise,Engine Auxiliary Noise,Unkown,Yes,Unkown,Yes,NO Blow-by,No,Hard,Low Pick Up,Unkown,Unkown,Unkown,No,Abnormal Noise,Unkown,Unkown,Pickup Low,Starter Motor / Solenoid malfunctioning,Unkown,Unkown,Petrol,181468,1.0,3.309619
2007,2,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,116303,1.0,3.6795728
2004,9,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Yes,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Yes,NO Blow-by,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Yes,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Petrol,21822,1.0,3.54658
